2013-3-1,6,10,8,27,379,70
2013-3-2,30,41,28,58,967,38
2013-3-3,98,132,58,93,2133,20
2013-3-4,24,41,16,48,833,62
2013-3-5,154,183,79,134,2346,83
2013-3-6,207,232,102,162,2991,28
2013-3-7,274,307,93,174,4250,54
2013-3-8,189,232,61,152,3066,105
2013-3-9,59,193,31,54,1208,97
2013-3-10,36,66,19,53,875,95
2013-3-11,112,150,75,83,1225,87
2013-3-12,127,126,28,89,1408,46
2013-3-13,18,24,12,36,446,80
2013-3-14,98,105,52,72,1437,79
2013-3-15,220,230,78,116,2299,61
2013-3-16,244,235,69,123,2350,85
2013-3-17,289,289,73,140,242,107
2013-3-18,70,101,17,55,0,91
2013-3-19,39,48,11,54,0,30
2013-3-20,51,58,17,39,462,37
2013-3-21,144,146,23,77,1304,19
2013-3-22,83,125,23,52,862,55
2013-3-23,53,84,25,46,983,40
2013-3-24,18,29,9,24,188,70
2013-3-25,100,121,39,65,387,40
2013-3-26,148,160,49,75,1266,16
2013-3-27,86,97,16,46,817,55
2013-3-28,29,54,8,29,525,79
2013-3-29,90,134,36,70,1391,30
2013-3-30,80,106,48,51,1616,51
2013-3-31,179,193,20,71,1437,9
2013-4-1,95,119,33,46,1383,62
2013-4-2,104,134,35,55,1221,70
2013-4-3,126,194,42,80,1396,65
2013-4-4,71,107,48,65,2100,32
2013-4-5,60,58,15,38,1154,51
2013-4-6,11,20,6,19,358,74
2013-4-7,80,116,34,59,1233,47
2013-4-8,23,120,6,15,362,86
2013-4-9,12,27,4,10,342,92
2013-4-10,15,25,5,24,383,73
2013-4-11,20,40,9,51,671,62
2013-4-12,53,98,23,71,804,55
2013-4-13,66,121,30,57,737,71
2013-4-14,35,86,12,27,512,97
2013-4-15,70,140,45,45,1446,69
2013-4-16,63,137,26,35,1183,80
2013-4-17,52,85,13,28,867,73
2013-4-18,11,43,3,13,250,84
2013-4-19,49,83,18,37,746,56
2013-4-20,73,78,9,39,746,66
2013-4-21,125,143,30,50,812,61
2013-4-22,167,176,48,50,1196,49
2013-4-23,196,186,28,62,1433,33
2013-4-24,96,108,10,49,1121,55
2013-4-25,14,30,5,33,483,73
