2015-1-1,25,47,13,34,775,32
2015-1-2,28,54,18,42,838,26
2015-1-3,130,170,59,90,2842,13
2015-1-4,136,167,79,87,3150,17
2015-1-5,110,145,49,60,2279,35
2015-1-6,40,47,12,31,675,27
2015-1-7,52,64,31,50,1225,24
2015-1-8,133,143,49,82,2642,14
2015-1-9,79,83,26,56,1350,27
2015-1-10,75,92,35,61,1538,27
2015-1-11,31,50,13,34,700,46
2015-1-12,114,127,40,73,2325,20
2015-1-13,163,165,41,76,2296,16
2015-1-14,168,168,48,73,2204,12
2015-1-15,348,348,32,97,3767,16
2015-1-16,192,197,2,56,2604,45
2015-1-17,49,49,13,44,892,36
2015-1-18,76,96,22,56,1442,31
2015-1-19,36,50,11,43,646,36
2015-1-20,95,106,31,71,2004,21
2015-1-21,45,46,14,40,821,40
2015-1-22,132,141,25,85,2171,20
2015-1-23,204,204,37,95,2675,19
2015-1-24,109,118,37,64,2196,31
2015-1-25,155,155,6,65,2012,14
2015-1-26,110,113,2,43,1929,34
2015-1-27,20,20,6,25,542,41
2015-1-28,41,44,24,37,1067,35
2015-1-29,82,89,19,45,1221,32
2015-1-30,19,20,5,26,529,52
2015-1-31,26,30,12,33,717,37
2015-2-1,72,74,28,57,1600,21
2015-2-2,146,148,51,75,2133,19
2015-2-3,128,129,14,64,1604,36
2015-2-4,14,17,3,19,267,56
2015-2-5,25,26,7,42,571,48
2015-2-6,63,66,24,66,1158,24
2015-2-7,24,25,7,27,579,58
2015-2-8,22,24,8,28,533,44
2015-2-9,112,113,41,80,1988,15
2015-2-10,95,95,40,76,1375,23
2015-2-11,37,43,15,33,596,66
2015-2-12,30,34,14,30,571,58
2015-2-13,125,127,29,77,2154,26
2015-2-14,243,243,46,87,2567,40
2015-2-15,240,261,71,103,3812,23
2015-2-16,120,141,24,54,2058,44
2015-2-17,17,30,8,14,362,70
2015-2-18,40,49,14,18,483,64
2015-2-19,233,271,58,42,1804,41
2015-2-20,132,132,5,34,1467,24
2015-2-21,174,276,3,39,2129,24
2015-2-22,54,323,3,13,288,49
2015-2-23,43,86,16,23,462,47
2015-2-24,134,194,23,39,1638,33
2015-2-25,88,112,4,31,1092,47
2015-2-26,14,24,5,17,304,54
2015-2-27,20,38,9,19,646,52
2015-2-28,111,113,3,41,1379,9
2015-3-1,79,130,9,61,1192,26
2015-3-2,50,80,10,40,833,40
2015-3-3,9,48,2,10,308,69
2015-3-4,24,39,9,31,492,39
2015-3-5,114,135,36,62,1488,25
2015-3-6,167,185,23,46,1142,14
2015-3-7,227,235,25,67,1988,42
2015-3-8,143,152,6,40,1100,47
2015-3-9,7,24,2,10,367,74
2015-3-10,24,33,12,38,467,42
2015-3-11,37,55,13,37,500,50
2015-3-12,69,89,19,54,1083,24
2015-3-13,57,67,10,46,1042,32
2015-3-14,87,111,38,67,1750,22
2015-3-15,114,185,24,71,1654,37
2015-3-16,187,269,33,76,1671,10
2015-3-17,180,203,12,48,1400,53
2015-3-18,59,89,17,65,933,30
2015-3-19,77,191,10,70,908,32
2015-3-20,58,212,7,60,538,41
