2013-3-1,9,14,9,22,450,68
2013-3-2,32,37,26,48,896,34
2013-3-3,98,121,56,83,2029,17
2013-3-4,22,38,17,42,896,53
2013-3-5,142,156,74,102,2408,94
2013-3-6,194,206,92,122,2941,75
2013-3-7,258,278,73,134,4416,55
2013-3-8,174,202,47,102,2950,102
2013-3-9,60,198,27,42,1387,89
2013-3-10,38,66,21,45,796,90
2013-3-11,122,144,83,73,1450,88
2013-3-12,127,120,26,69,2029,47
2013-3-13,17,23,13,32,575,74
2013-3-14,84,98,54,62,1196,78
2013-3-15,190,214,57,89,2250,63
2013-3-16,248,235,69,83,2454,89
2013-3-17,290,275,60,100,2687,104
2013-3-18,73,98,13,40,912,93
2013-3-19,44,40,11,45,892,28
2013-3-20,58,44,10,37,1025,41
2013-3-21,135,132,29,69,1400,25
2013-3-22,77,110,25,48,929,55
2013-3-23,51,74,29,51,1237,36
2013-3-24,16,27,10,31,388,68
2013-3-25,93,109,42,65,383,44
2013-3-26,173,192,57,70,1375,25
2013-3-27,85,94,14,47,883,46
2013-3-28,26,49,8,35,508,33
2013-3-29,87,116,34,68,1521,0
2013-3-30,74,89,54,50,1516,8
2013-3-31,171,179,26,64,1562,12
2013-4-1,96,108,37,50,1483,52
2013-4-2,102,127,36,51,1333,67
2013-4-3,117,156,38,70,1471,58
2013-4-4,66,95,50,69,2233,34
2013-4-5,62,52,12,44,1312,42
2013-4-6,10,19,6,29,421,67
2013-4-7,78,100,34,59,1208,41
2013-4-8,23,109,4,26,396,110
2013-4-9,11,34,3,21,354,24
2013-4-10,12,37,3,36,462,61
2013-4-11,18,52,5,49,654,40
2013-4-12,51,96,19,62,758,38
2013-4-13,57,120,20,46,800,44
2013-4-14,34,84,14,29,646,74
2013-4-15,66,127,46,49,1400,60
2013-4-16,57,122,28,44,1087,70
2013-4-17,46,60,18,30,700,76
2013-4-18,11,36,4,19,288,77
2013-4-19,46,63,15,27,721,52
2013-4-20,72,68,9,30,754,58
2013-4-21,115,119,27,40,854,53
2013-4-22,154,144,39,41,1212,41
2013-4-23,163,147,22,50,1246,21
2013-4-24,88,109,8,42,1350,39
2013-4-25,12,42,4,44,438,46
2013-4-26,63,114,28,58,1058,61
2013-4-27,63,105,39,45,1146,90
2013-4-28,75,105,55,55,1896,74
2013-4-29,18,79,4,40,300,52
2013-4-30,20,70,5,42,425,66
2013-5-1,33,78,11,28,608,83
2013-5-2,73,109,39,41,1142,81
2013-5-3,58,75,22,21,996,114
2013-5-4,81,105,22,18,825,108
2013-5-5,174,212,41,65,1521,93
2013-5-6,209,233,26,56,1600,115
2013-5-7,156,184,42,62,1500,126
2013-5-8,128,149,60,52,1541,66
2013-5-9,50,69,14,32,571,21
2013-5-10,42,100,7,29,567,61
2013-5-11,41,138,8,55,512,44
2013-5-12,35,99,11,43,633,63
2013-5-13,101,185,68,60,1879,75
2013-5-14,48,131,8,36,896,78
2013-5-15,52,145,47,37,1408,110
2013-5-16,54,108,30,33,1100,103
